id,member_id,year,promised_amount,created_at,updated_at
0059d6c8-99cf-4200-88f2-f419dcbef3bf,da991148-4066-4fc0-88d3-7f9530b8acac,2026,3640.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
07cb1ae8-efad-40c3-b15d-9a68638e31a8,613772ff-031e-4a1e-b252-4b04b5286a55,2026,1300.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
0898f66e-04bd-47ee-8510-34fb5160fe02,47a92b6c-ed98-4f0e-80ac-4db2c06f0a84,2026,3380.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
168186ec-11db-4dc9-b5d5-1960e45da9cc,c10fa4ef-da03-4be4-8370-ed5e02a7bfa6,2026,10400.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
18c098da-a3c3-4c44-9237-f5eeeb78fc17,459cc6fb-5674-4061-867c-c60a96baceb6,2026,1040.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
1cf758c9-e7fc-460a-91d9-69539276c73d,7ba89542-e3bd-4704-bdbe-699973e1390b,2026,36400.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
2e08d33b-211c-4266-b2ed-fcbb87b16220,99123d5b-9d62-4729-b90a-0f918aa6002f,2026,20800.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
2ec63b96-6435-463a-a6a9-60d8af782b90,c360fe8b-e4bf-40e0-ad9b-d5987c32d385,2026,2704.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
408305cf-04a9-4812-858f-28f9815dd23a,446860cd-872b-4da8-a838-1e79a27303d2,2026,15600.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
4106b790-089d-4ec7-b198-2216616cea02,afd1316f-5bb4-4c98-b52e-6cff047e89f8,2026,52000.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
440a7c7c-13b9-449b-9a94-c3bef9bbfaf4,975dc527-2731-4e33-8708-8f2bbd19e0fa,2026,7280.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
56a4df18-b4c1-4798-8275-6930b3db5991,46fb6ae1-0eee-4646-92e3-a3b770b32a3c,2026,520.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
5a187b96-e101-43d4-9c01-7d7f305f6667,1444bd49-ecdd-4853-bfe9-0fccd515f512,2026,1820.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
5c06ef1c-1300-456b-9b5d-2b863eca9e33,43968fa2-dad7-40a0-b856-cfa812910912,2026,988.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
