id,member_id,position_name,position_category,department,specific_role,start_date,end_date,is_active,assignment_reason,created_at,is_ministry_head
125df4ab-f2d9-40d2-8aea-d25877d771d2,b18ba356-3472-4903-ab17-4f430d35bd01,Soprano,music_ministry,Main Choir,,2026-02-21,,true,Sunday Afternoon & Wednesday Evening,2026-02-21 06:26:56.165633+00,false
130f7f42-aab0-47e8-b408-7b3bdb3013bf,7ba89542-e3bd-4704-bdbe-699973e1390b,Soprano,music_ministry,Main Choir,,2026-02-21,,true,Sunday Afternoon & Wednesday Evening,2026-02-21 02:52:46.827826+00,false
16d23046-922a-4b7f-bfb7-55767ed3aa72,7ba89542-e3bd-4704-bdbe-699973e1390b,Teacher,sunday_school_adult,Sunday School Adult,,2026-02-21,,true,Sunday 8:30 AM,2026-02-21 02:00:40.324248+00,false
16f66d91-560f-451d-95dd-4d1242b52f2a,c10fa4ef-da03-4be4-8370-ed5e02a7bfa6,Violinist,music_ministry,Mini-Ensemble,,2026-02-21,,true,,2026-02-22 03:10:01.761221+00,false
1dce02b4-9329-402c-a523-8b653e5b2c72,c360fe8b-e4bf-40e0-ad9b-d5987c32d385,Pianist,music_ministry,Main Choir,,2026-02-21,,true,Sunday Afternoon & Wednesday Evening,2026-02-21 06:26:56.165633+00,false
25d8afb4-ccb7-42e4-b70c-fed63aad305d,47a92b6c-ed98-4f0e-80ac-4db2c06f0a84,Alto,music_ministry,Main Choir,,2026-02-21,,true,Sunday Afternoon & Wednesday Evening,2026-02-21 02:52:46.827826+00,false
2cfbca6f-6421-4492-957b-fbfd48122464,cc991436-8dbb-4193-bb3a-122eb999b246,Soprano,music_ministry,Main Choir,,2026-02-21,,true,Sunday Afternoon & Wednesday Evening,2026-02-21 12:11:44.788472+00,false
42057212-48ed-4640-aeb6-d068ba10fadb,79da7005-f6bc-4244-b9b6-f1b608de548e,Teacher,sunday_school_adult,Beginners Class,,2026-02-21,,true,Sunday 8:30 AM,2026-02-21 09:53:03.293864+00,false
4944e36d-2b6b-4adb-9c55-6ddece615c27,975dc527-2731-4e33-8708-8f2bbd19e0fa,Alto,music_ministry,Main Choir,,2026-02-21,,true,Sunday Afternoon & Wednesday Evening,2026-02-21 06:26:56.165633+00,false
64855f6b-88f5-4470-94c7-9abb882a9b98,cc991436-8dbb-4193-bb3a-122eb999b246,Soprano,music_ministry,Main Choir,,2026-02-21,2026-02-21,false,Sunday Afternoon & Wednesday Evening,2026-02-21 06:26:56.165633+00,false
